21_JUMP_STREET_DVS395.avi	20	40	He glances nervously at Ms. SOMEONE.
21_JUMP_STREET_DVS454.avi	123	147	He glances at his partner. The gang leader cuts off a sedan and rides up alongside them again.
30_MINUTES_OR_LESS_DVS340.avi	16	52	He glances at his van.
40_YEAR_OLD_VIRGIN_DVS111.avi	10	43	He glances over his shoulder.
500DAYSOFSUMMER_DVS93.avi	10	117	He glances around the office then screws up his piece of paper into a ball. 8 jumps to 154.
500DAYSOFSUMMER_DVS102.avi	2	100	But she doesn't even glance in his direction.
500DAYSOFSUMMER_DVS367.avi	7	56	He glances down at her with a pensive smile.
A_THOUSAND_WORDS_DVS140.avi	3	94	He steps to the curb, then glances at the crosswalk sign, which shows a red hand.
A_THOUSAND_WORDS_DVS194.avi	14	69	SOMEONE flinches, then glances at SOMEONE.
A_THOUSAND_WORDS_DVS246.avi	87	134	SOMEONE points at his own throat then shakes his head. He glances over his shoulder, clasps his hands, and then taps his own chest.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS68.avi	2	74	He glances at the stranger then picks up his weapon and stumbles off.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS462.avi	4	89	As he answers her, she glances over her shoulder.
BATTLE_LOS_ANGELES_DVS76.avi	28	68	They glance skyward.
BATTLE_LOS_ANGELES_DVS83.avi	115	143	SOMEONE chuckles and shakes his head. He glances at SOMEONE.
BATTLE_LOS_ANGELES_DVS525.avi	32	100	As the boy clings to him, he glances uncomfortably at the brunette. SOMEONE wanders pass them, holding his helmet.
BATTLE_LOS_ANGELES_DVS527.avi	62	137	He glances at SOMEONE, who sits nearby with a somber gaze. SOMEONE kneels in front of the boy.
BATTLE_LOS_ANGELES_DVS596.avi	32	125	She glances at the letter then takes it and nods.
BATTLE_LOS_ANGELES_DVS634.avi	16	142	He glances at SOMEONE and blocks it below.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS78.avi	8	73	He glances around, then leans in close.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS154.avi	22	76	On their way upstairs, he glances back at SOMEONE<Malcolm> who sneers and points. Now, in a dorm,
BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS415.avi	47	117	She glances up from her schoolwork and winces.
