0001_American_Beauty_01.24.02.561-01.24.04.664 	The blender GRINDS as Lester, still in his sweatpants, makes himself a high-protein shake.
0001_American_Beauty_01.24.26.888-01.24.27.706 	He's got a newfound sexual energy that makes her uncomfortable, and he knows it.
0001_American_Beauty_01.54.59.441-01.55.05.110 	IN BLACK & WHITE: A younger Carolyn sits across from us in one of those SPINNING-TEACUP RIDES, LAUGHING uncontrollably as she twists the wheel in front of her, making us SPIN even faster.
0002_As_Good_As_It_Gets_00.17.01.334-00.17.03.334 	resumes making out.
0002_As_Good_As_It_Gets_00.26.04.527-00.26.08.443 	Frank standing upset, anxious, holding a dog bowl, a leash and VERDELL, who is more upset making pathetic little CRYING.
0002_As_Good_As_It_Gets_00.26.55.071-00.26.59.050 	A short laugh makes us realize that Melvin has witnessed and enjoyed Frank's hostile mutterings.
0002_As_Good_As_It_Gets_00.29.15.226-00.29.16.688 	his recent past making him suspect this feast is a trick.
0002_As_Good_As_It_Gets_01.00.18.697-01.00.21.172 	Melvin has made for the door.
0002_As_Good_As_It_Gets_01.08.58.361-01.09.02.449 	He rises and makes an awkward exit.
0002_As_Good_As_It_Gets_01.20.55.546-01.20.56.618 	He makes a little comment to himself as he moves.
0002_As_Good_As_It_Gets_02.09.36.076-02.09.37.768 	Melvin looks at her, Embarrassed, self-conscious, His habits making him appear unworthy.
0003_CASABLANCA_00.19.53.478-00.19.54.941 	Rick makes a face.
0003_CASABLANCA_00.51.29.715-00.51.34.276 	Laszlo and Ilsa make their way through the jam in the lobby of the Prefecture.
0003_CASABLANCA_01.02.43.605-01.02.49.988 	A FRENCH OFFICER at the bar makes a remark to Yvonne.
0003_CASABLANCA_01.25.50.618-01.25.53.395 	Laszlo and Carl make their way through the darkness toward a side entrance of Rick's.
0003_CASABLANCA_01.26.12.859-01.26.14.292 	She makes a move as if to go out to the balcony but Rick's pushes her back.
0003_CASABLANCA_01.40.11.819-01.40.13.747 	Strasser looks briefly at Rick, then makes a step towards the telephone just inside the hangar door.
0004_Charade_00.35.13.939-00.35.14.738 	Then, using all his weight, he slams the door open as far as it will go, making sure to hold it that way as he steps in.
0004_Charade_00.49.23.999-00.49.24.825 	He smiles back emptily, not knowing what to make of her.
0004_Charade_00.49.25.235-00.49.27.500 	He has made his judgment of the painting and now moves on.
