0005_Chinatown_00.50.59.215-00.51.06.237 	Gittes turns and strolls around the office a moment.
0005_Chinatown_00.52.07.334-00.52.27.929 	He lights up and begins to hum 'The Way You Look Tonight,' strolling along the wall looking at more photographs.
0005_Chinatown_01.17.39.497-01.17.42.475 	Gittes strolls toward the women knitting and working on the quilt.
0007_DIE_NACHT_DES_JAEGERS_00.12.19.244-00.12.20.561 	They stroll barefoot down the empty dirt sidewalk.
0007_DIE_NACHT_DES_JAEGERS_01.09.03.842-01.09.04.796 	A CATTLE DEALER strolls the other way.
0012_Get_Shorty_01.18.20.477-01.18.23.249 	Ray Bones looks over as Ronnie Wingate strolls into the office.
0013_Halloween_00.13.51.079-00.13.54.397 	Laurie strolls up to the front porch.
0013_Halloween_00.23.42.806-00.23.45.455 	Lynda strolls up to her house.
0013_Halloween_00.32.27.986-00.32.30.254 	Lee Brackett strolls out to the car and leans down to the window.
0017_Pianist_00.08.10.418-00.08.14.912 	Szpilman and Dorota stroll along a tree-lined street with bombed-out buildings and rubble.
0019_Pulp_Fiction_00.14.29.354-00.14.32.454 	The two men stroll inside.
0020_Raising_Arizona_00.57.45.852-00.57.49.925 	Behind the jackboots as they stroll through a showroom of unpainted furniture and bathroom fixtures.
0021_Rear_Window_01.14.53.377-01.15.03.877 	Doyle smiles at Jeff, and then strolls over to the table where he puts out his cigarette and puts down the brandy snifter.
0023_THE_BUTTERFLY_EFFECT_00.57.21.376-00.57.23.158 	She and Evan stroll arm in arm through the quad.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.22.55.420-01.22.59.430 	Strider watches from the shadows.as Boromir strolls through the darkened gallery.
0030_The_Hustler_00.13.45.510-00.13.58.215 	Fats withdraws a cigarette from his gold case, then casually strolls toward Eddie's table standing apart and quietly observing the sharp, precise movements of his prospective opponent.
0049_Hannah_and_her_sisters_00.24.34.109-00.25.10.573 	The jazz plays on as the movie cuts back and forth between the fast-moving Elliot, rushing down the SoHo streets, past a truck waiting for a light to change, past some pedestrians, some garbage cans, turning corners, and the strolling Lee, walking up different streets, past different buildings.
0049_Hannah_and_her_sisters_01.35.49.237-01.36.03.729 	Holly and Mickey stroll into view, deep in conversation.
0049_Hannah_and_her_sisters_01.39.37.235-01.39.42.649 	They stroll offscreen.
0049_Hannah_and_her_sisters_01.40.13.151-01.40.17.032 	Two women stand by the partially set dining room table, chatting and arranging some plates, as Elliot strolls into view, sipping a drink.
1003_How_to_Lose_Friends_and_Alienate_People_00.49.22.143-00.49.23.877 	Smiling, Clayton strolls up to him.
1004_Juno_00.27.45.780-00.27.54.319 	As the woman carefully adjust the buttons on her pristine white cuffs, Mac and Juno wearing everyday casual clothes stroll up to the double-fronted door flanked by two slim furs.
1005_Signs_00.21.52.750-00.21.56.270 	She shakes her head as they stroll away from the farmhouse.
1005_Signs_00.23.59.622-00.24.03.276 	Graham turns and calls to Merrill, who strolls off in the other direction.
1005_Signs_00.29.30.575-00.29.39.003 	His expression hardens when he sees a young dark-haired man of Asian descent strolling down the sidewalk, and opening the back door of a brown Chevrolet four by four.
1058_The_Damned_united_00.15.05.172-00.15.13.722 	next, he lays a heavy, glass ashtray beside each of the towels, then strolls out.
1058_The_Damned_united_00.16.46.000-00.17.03.519 	down the street, kids flock around don and his team as they step from the coach and stroll towards the ground in their smart suits, signing autographs.
1058_The_Damned_united_00.28.50.000-00.28.54.000 	jimmy and brian stroll towards the team milling about on the training pitch.
1058_The_Damned_united_00.38.06.168-00.38.16.943 	the derby players tuck the white shirts of their home kit into their shorts and sit on benches as brian strolls in.
1058_The_Damned_united_00.38.34.000-00.38.42.593 	he strolls to the far end of the dressing room and kneels before a heavy-featured, sandy-haired lad, looking him in the eye.
1058_The_Damned_united_00.41.52.579-00.42.00.000 	jimmy strolls off, leaving peter frowning at brian.
1058_The_Damned_united_00.55.02.411-00.55.05.426 	bremner strolls up to brian and shakes his hand on the touchline.
1058_The_Damned_united_01.07.36.901-01.07.44.259 	they stroll along the seafront passing a woman, hobbling with a zimmer frame.
1058_The_Damned_united_01.23.57.372-01.24.12.372 	brian nods bitterly as don and the presenter rise from their seats and stroll away across the studio floor.
1058_The_Damned_united_01.26.35.298-01.26.38.821 	brian puts his hands in his pockets as he strolls up the drive.
1058_The_Damned_united_01.28.18.000-01.28.23.548 	peter strolls towards his house, then turns back.
1059_The_devil_wears_prada_01.08.34.266-01.08.46.000 	andy strolls sadly through the city, mulling over her decision.
1059_The_devil_wears_prada_01.27.00.180-01.27.05.502 	after dinner, they stroll near the notredam cathedral.
1059_The_devil_wears_prada_01.39.12.795-01.39.18.152 	with a smile on her face, andy strolls off along the place de la concorde.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.33.43.000-01.33.46.000 	they stroll along the platform and sit down on a bench.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.51.40.237-01.51.50.888 	outside in brilliant sunshine, the three friends stroll aimlessly along the ruined bridge, with its broken balustrades.
